Bedroom,Bathroom,Den,Address,Lat,Long,Price
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$3,150.00"
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,"$3,200.00"
1,1,0,"438 Richmond St W, Toronto, ON M5V 1X9, Canada",43.6480053,-79.3968338,"$2,500.00"
1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.6418726,-79.3819064,"$2,400.00"
1,1,0,"7934 Kipling Ave, Woodbridge, ON L4L 1Z5, Canada",43.7831897,-79.5985666,"$1,750.00"
2,2,0,"York St, Toronto, ON M5J 2Z2, Canada",43.6423144,-79.3812291,"$3,100.00"
2,2,0,"10 Park Lawn Rd, Etobicoke, ON M8Y 3K4, Canada",43.6232891,-79.4836951,"$2,999.00"
1,1,0,", Toronto M3H4Z2 ON, Canada",43.7598859,-79.4431384,"$1,250.00"
1,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.6893623,-79.3528481,"$1,825.00"
1,1,1,"9 George St N, Brampton, ON L6X 0T6, Canada",43.6852857,-79.7614922,"$1,900.00"
2,1,0,"33 Gamble Ave, East York, ON M4K 2H5, Canada",43.6893623,-79.3528481,"$2,245.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,"$1,950.00"
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,"$1,950.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"28 Linden Street, Toronto, ON, M4Y 0A4",43.670878,-79.3766958,"$1,950.00"
1,1,1,"832 Bay St, Toronto, ON M5S 1Z6, Canada",43.661927,-79.3865112,"$2,250.00"
2,1.5,0,"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",43.3316744,-79.8153544,"$2,000.00"
2,2,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$2,800.00"
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$1,900.00"
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$1,900.00"
1,1,0,"Downtown Port Credit, Mississauga, ON, L5G 1G4",43.5583525,-79.5788687,"$1,727.00"
2,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$2,230.00"
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,"$1,785.00"
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,"$1,535.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,"$3,200.00"
2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787,-79.391138,"$2,350.00"
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$1,475.00"
1,1,0,"36 Maitland Street, Toronto, ON, M4Y 1C5",43.6645808,-79.3822956,"$1,815.00"
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$1,755.00"
1,1,0,"15 Merchants Wharf, Toronto, ON, M5A 0N8",43.6450775,-79.3643417,"$2,450.00"
1,1,0,"105 George St, Toronto, ON M5A 0L4, Canada",43.6522103,-79.3707988,"$2,200.00"
2,1,0,"Dunlop St E, Whitby, ON L1N, Canada",43.8792747,-78.9346733,"$1,350.00"
1,1,1,"224 King St W, Toronto, ON, M5H 0A6",43.6473801,-79.3872741,"$2,400.00"
1,1,1,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$2,424.00"
1,1,0,"565 Sherbourne Street, Toronto, ON, M4X 1W5",43.6701586,-79.3756379,"$1,700.00"
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$1,400.00"
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$1,700.00"
1,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,"$1,500.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,"$3,200.00"
1,1,0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.6489001,-79.392205,"$2,550.00"
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$3,150.00"
2,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,"$1,775.00"
1,1,0,"Enterprise Blvd, Markham, ON, Canada",43.8506191,-79.3193975,"$1,750.00"
1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.6418064,-79.3789807,"$1,830.00"
1,1,0,"28 Wellesley Street East, M4Y 0C4, Toronto, ON",43.6655881,-79.383028,"$2,000.00"
2,1,0,"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",43.6911466,-79.4714355,"$1,850.00"
2,1,0,"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",43.6488578,-79.4330072,"$1,300.00"
1,1,1,"33 Bay St, Toronto, ON M5J 2Z3, Canada",43.6426791,-79.3769938,"$2,275.00"
2,1,0,"Port Hope, ON, Canada",43.9491784,-78.2934468,"$1,595.00"
1,2,1,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",43.6402232,-79.395951,"$2,500.00"
2,2,0,"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",43.6092614,-79.558998,"$2,380.00"
1,1,0,"14 York St, Toronto, ON M5J 0B1, Canada",43.6419081,-79.3817798,"$2,000.00"
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,"$2,574.00"
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,"$2,591.00"
1,1,0,"51 Guestville Ave, York, ON M6N 4N1, Canada",43.682692,-79.4888656,"$1,295.00"
1,1,0,"89 Chestnut St, Toronto, ON M5G 1R1, Canada",43.6541547,-79.3852113,$550.00
2,2,0,"Front St W, Toronto, ON M5V 3S8, Canada",43.6432077,-79.39211,"$3,200.00"
2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787,-79.391138,"$2,350.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
2,2,0,"220 Victoria St, Toronto, ON M5B 2R6, Canada",43.6548421,-79.3792015,"$3,099.00"
2,2,0,"28 Wellesley St E, Toronto, ON M4Y, Canada",43.6655881,-79.383028,"$3,700.00"
2,2,0,"Temperance St, Toronto, ON M5H 0B1, Canada",43.6504185,-79.3817908,"$3,000.00"
2,1,0,", Toronto M5J 0B8 ON, Canada",43.6408157,-79.3817523,"$1,500.00"
2,2,0,"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",43.6551919,-79.3539119,"$2,999.00"
1,1,0,"125 Western Battey st, M6k 3s2, Toronto, ON",43.6399343,-79.4164454,"$2,100.00"
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,"$1,775.00"
3,1.5,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$2,050.00"
1,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$1,525.00"
2,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$1,799.00"
2,1,0,"1275  Brant St, Burlington, ON, L7P 1X7",43.3451932,-79.8261288,"$1,875.00"
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,"$1,625.00"
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,"$2,150.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"50 Charles St E, Toronto, ON M4Y 1T1, Canada",43.6695496,-79.3837757,"$2,000.00"
1,1,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",43.6469441,-79.3923973,"$2,100.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,300.00"
2,2,0,"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",43.6667515,-79.3762355,"$4,100.00"
1,1,0,", M5G2E8, Toronto, ON",43.6550692,-79.3874705,"$1,200.00"
2,2,0,"m1s0l7, Canada",43.7800331,-79.2810545,"$2,184.00"
2,2,0,"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",43.5464869,-79.6854157,"$2,350.00"
1,1,0,"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",43.588602,-79.6317004,"$1,900.00"
1,1,0,"M4L1G3, Canada",43.6669887,-79.3146912,"$1,100.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$3,150.00"
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,"$2,150.00"
1,1,0,"Water Walk Dr, Markham, ON L3R, Canada",43.85631,-79.3286298,"$1,800.00"
1,1,1,"52 Sumach St, Toronto, ON M5A 3J7, Canada",43.6559879,-79.3588769,"$3,200.00"
1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.6418726,-79.3819064,"$2,400.00"
1,1,0,", DOWNTOWN M5V 4A9 ON, Canada",43.640402,-79.3971467,"$2,100.00"
1,1,0,"460 Adelaide St E, Toronto, ON, M4V 1K6",43.6527574,-79.3665108,"$2,480.00"
1,1,1,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,"$3,000.00"
1,1,0,"560 King St W, Toronto, ON, M4V 1K6",43.6448637,-79.3990598,"$2,250.00"
1,1,0,"290 Adelaide Street West, Toronto, ON, M5V 1P6",43.64787,-79.391138,"$1,850.00"
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,"$1,750.00"
1,1,0,"101 Charles St, TORONTO, ON, M4Y 1V2",43.6695928,-79.3805797,"$535,000.00"
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,"$1,675.00"
2,2,0,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,"$3,400.00"
1,1,0,"1 SHAW ST, TORONTO, ON, M6K 0A1",43.6408455,-79.4143193,"$2,180.00"
1,1,0,"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",43.6694507,-79.3874705,"$2,550.00"
1,1,1,", L3R9X3, markham, ON",43.8413607,-79.3201494,"$1,900.00"
1,1,0,", L6G0G3, markham, ON",43.8561002,-79.3370188,"$1,800.00"
1,1,1,"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",43.6385213,-79.3994638,"$2,300.00"
1,1,0,"365 Church St, Toronto, ON M5B 1Z9, Canada",43.660846,-79.3787556,"$2,250.00"
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,"$3,200.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
1,1,0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.6489001,-79.392205,"$2,550.00"
1,1,0,"88 Scott St, Toronto, ON M5E 1X6, Canada",43.6485726,-79.3762754,"$1,900.00"
1,1,0,"28 Church St W, Acton, ON L7J 1X4, Canada",43.6281687,-80.041462,"$1,175.00"
2,2,0,"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",43.8497521,-79.3246663,"$2,300.00"
1,1,0,"255 Richmond St E, Toronto, ON M5A 4T7, Canada",43.653075,-79.370179,"$2,000.00"
1,1,1,"1512 Dufferin Street, M6H3L4, Toronto, ON",43.6739944,-79.441685,"$1,650.00"
2,1,0,"170 Sudbury St, Toronto, ON M6J 0A9, Canada",43.6415686,-79.4246028,"$2,889.00"
2,2,0,"89 McGill St, Toronto, ON M5B 1H3, Canada",43.6606054,-79.3786354,"$2,800.00"
1,1,0,"# Dundas st w, Denison ave and Dundas st w M5T 2N3 ON, Canada",43.6520426,-79.4022416,"$1,300.00"
2,1,0,"211 Simcoe St S, Oshawa, ON L1H 4H2, Canada",43.8920474,-78.860868,"$1,250.00"
1,1,0,"M6J1T8, Canada",43.6522978,-79.4069977,"$1,300.00"
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,"$1,750.00"
1,1,1,"70 Queens Wharf Rd, Toronto, ON M5V 0J2, Canada",43.6400685,-79.3999604,"$2,400.00"
1,1,0,"89 McGill St, Toronto, ON M5B 1H3, Canada",43.6606054,-79.3786354,"$2,000.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
1,1,0,"89 McGill Street, Toronto, ON, M5B 0B1",43.6606054,-79.3786354,"$1,950.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"28 Linden Street, Toronto, ON, M4Y 0A4",43.670878,-79.3766958,"$1,950.00"
1,1,1,"832 Bay St, Toronto, ON M5S 1Z6, Canada",43.661927,-79.3865112,"$2,250.00"
2,1.5,0,"1375 Stephenson Dr Unit 24, Burlington, ON L7S 2M5, Canada",43.3316744,-79.8153544,"$2,000.00"
2,2,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$2,800.00"
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$1,900.00"
1,1,0,"70 Temperance St, Toronto, ON M5H 0B1, Canada",43.6505597,-79.3820722,"$1,900.00"
1,1,0,"Downtown Port Credit, Mississauga, ON, L5G 1G4",43.5583525,-79.5788687,"$1,727.00"
2,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$2,230.00"
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,"$1,785.00"
1,1,0,"392 Sherbourne Street, Toronto, ON, M4X 1K3",43.6640557,-79.3737903,"$1,535.00"
2,2,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,900.00"
1,1,0,"80 St Patrick St, Toronto, ON M5T 2X6, Canada",43.6524873,-79.3896218,"$1,800.00"
2,2,0,"12 Yonge St, Toronto, ON M5E 1Z9, Canada",43.6431051,-79.375906,"$3,200.00"
2,2,0,"290 Adelaide St W, Toronto, ON M5V 1P6, Canada",43.64787,-79.391138,"$2,350.00"
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$1,475.00"
1,1,0,"36 Maitland Street, Toronto, ON, M4Y 1C5",43.6645808,-79.3822956,"$1,815.00"
1,1,0,"200 Dufferin Street, Toronto, ON, M6K 1Z4",43.6371527,-79.4270923,"$1,755.00"
1,1,0,"15 Merchants Wharf, Toronto, ON, M5A 0N8",43.6450775,-79.3643417,"$2,450.00"
1,1,0,"105 George St, Toronto, ON M5A 0L4, Canada",43.6522103,-79.3707988,"$2,200.00"
2,1,0,"Dunlop St E, Whitby, ON L1N, Canada",43.8792747,-78.9346733,"$1,350.00"
1,1,1,"224 King St W, Toronto, ON, M5H 0A6",43.6473801,-79.3872741,"$2,400.00"
1,1,1,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$2,424.00"
1,1,0,"565 Sherbourne Street, Toronto, ON, M4X 1W5",43.6701586,-79.3756379,"$1,700.00"
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$1,400.00"
1,1,0,"545 - 555  Sherbourne Street, Toronto, ON, M4X 1W5",43.6684679,-79.3748336,"$1,700.00"
1,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,"$1,500.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,450.00"
1,1,0,"126 Simcoe str, Toronto Downtown M5V 1T8 ON",43.6489727,-79.3872946,"$2,299.00"
1,1,0,"318 Richmond St W, Toronto, ON M5V 0B4, Canada",43.6489001,-79.392205,"$2,550.00"
2,2,0,"11 Brunel Ct, Toronto, ON M5V 3Y3, Canada",43.6394055,-79.3932324,"$3,150.00"
2,1,0,"171 Main Street North, Brampton, ON, L6X 0H4",43.6887398,-79.7642676,"$1,775.00"
1,1,0,"Enterprise Blvd, Markham, ON, Canada",43.8506191,-79.3193975,"$1,750.00"
1,1,0,"100 Harbour St, Toronto, ON M5J 1B7, Canada",43.6418064,-79.3789807,"$1,830.00"
1,1,0,"28 Wellesley Street East, M4Y 0C4, Toronto, ON",43.6655881,-79.383028,"$2,000.00"
2,1,0,"2548 Eglinton Ave W, M6M 1T1, Toronto, ON",43.6911466,-79.4714355,"$1,850.00"
2,1,0,"101 Sheridan Ave, Toronto, ON M6K 2G8, Canada",43.6488578,-79.4330072,"$1,300.00"
1,1,1,"33 Bay St, Toronto, ON M5J 2Z3, Canada",43.6426791,-79.3769938,"$2,275.00"
2,1,0,"Port Hope, ON, Canada",43.9491784,-78.2934468,"$1,595.00"
1,2,1,"10 Capreol Ct, Toronto, ON M5V 4B3, Canada",43.6402232,-79.395951,"$2,500.00"
2,2,0,"235 Sherway Gardens Rd, Etobicoke, ON M9C 0A2, Canada",43.6092614,-79.558998,"$2,380.00"
1,1,0,"14 York St, Toronto, ON M5J 0B1, Canada",43.6419081,-79.3817798,"$2,000.00"
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,"$2,574.00"
2,1,0,"295 Dufferin St., Toronto, ON, M6K 1Z6",43.6403508,-79.4275216,"$2,591.00"
1,1,0,"51 Guestville Ave, York, ON M6N 4N1, Canada",43.682692,-79.4888656,"$1,295.00"
1,1,0,"89 Chestnut St, Toronto, ON M5G 1R1, Canada",43.6541547,-79.3852113,$550.00
2,2,0,"Front St W, Toronto, ON M5V 3S8, Canada",43.6432077,-79.39211,"$3,200.00"
1,1,0,"10 York Street, Toronto, ON, M5J 0E1",43.6410868,-79.3814048,"$2,200.00"
2,2,0,"220 Victoria St, Toronto, ON M5B 2R6, Canada",43.6548421,-79.3792015,"$3,099.00"
2,2,0,"28 Wellesley St E, Toronto, ON M4Y, Canada",43.6655881,-79.383028,"$3,700.00"
2,2,0,"Temperance St, Toronto, ON M5H 0B1, Canada",43.6504185,-79.3817908,"$3,000.00"
2,1,0,", Toronto M5J 0B8 ON, Canada",43.6408157,-79.3817523,"$1,500.00"
2,2,0,"170 Bayview Ave, Toronto, ON M5A 0G4, Canada",43.6551919,-79.3539119,"$2,999.00"
1,1,0,"125 Western Battey st, M6k 3s2, Toronto, ON",43.6399343,-79.4164454,"$2,100.00"
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,"$1,775.00"
3,1.5,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$2,050.00"
1,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$1,525.00"
2,1,0,"2304  Weston Road, Toronto, ON, M9N 1Z3",43.705123,-79.5300905,"$1,799.00"
2,1,0,"1275  Brant St, Burlington, ON, L7P 1X7",43.3451932,-79.8261288,"$1,875.00"
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,"$1,625.00"
1,1,1,"361 Front St W, Toronto, ON M5V 3R5, Canada",43.6430505,-79.3916429,"$2,150.00"
1,1,0,"50 Charles St E, Toronto, ON M4Y 1T1, Canada",43.6695496,-79.3837757,"$2,000.00"
1,1,0,"87 Peter St, Toronto, ON M5V 0P1, Canada",43.6469441,-79.3923973,"$2,100.00"
2,2,0,"3985 Grand Park Drive, 3985 Grand Park Dr, Mississauga, ON L5B 0H8, Canada",43.5816391,-79.648193,"$2,300.00"
2,2,0,"120 Homewood Ave, Toronto, ON M4Y 1J3, Canada",43.6667515,-79.3762355,"$4,100.00"
1,1,0,", M5G2E8, Toronto, ON",43.6550692,-79.3874705,"$1,200.00"
2,2,0,"m1s0l7, Canada",43.7800331,-79.2810545,"$2,184.00"
2,2,0,"2155 Burnhamthorpe Rd W, Mississauga, ON L5L 5P4, Canada",43.5464869,-79.6854157,"$2,350.00"
1,1,0,"3525 Kariya Dr, Mississauga, ON L5B 0C1, Canada",43.588602,-79.6317004,"$1,900.00"
1,1,0,"M4L1G3, Canada",43.6669887,-79.3146912,"$1,100.00"
1,1,0,"Water Walk Dr, Markham, ON L3R, Canada",43.85631,-79.3286298,"$1,800.00"
1,1,1,"52 Sumach St, Toronto, ON M5A 3J7, Canada",43.6559879,-79.3588769,"$3,200.00"
1,1,1,"12 York St, Toronto, ON M5J 2Z2, Canada",43.6418726,-79.3819064,"$2,400.00"
1,1,0,", DOWNTOWN M5V 4A9 ON, Canada",43.640402,-79.3971467,"$2,100.00"
1,1,0,"460 Adelaide St E, Toronto, ON, M4V 1K6",43.6527574,-79.3665108,"$2,480.00"
1,1,1,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,"$3,000.00"
1,1,0,"560 King St W, Toronto, ON, M4V 1K6",43.6448637,-79.3990598,"$2,250.00"
1,1,0,"290 Adelaide Street West, Toronto, ON, M5V 1P6",43.64787,-79.391138,"$1,850.00"
2,1,0,"2386  New Street, Burlington, ON, L7R 1J7",43.336221,-79.7869004,"$1,750.00"
1,1,0,"101 Charles St, TORONTO, ON, M4Y 1V2",43.6695928,-79.3805797,"$535,000.00"
2,1,0,"700  Ross Street, Burlington, ON, L7S 1S2",43.3289855,-79.8086183,"$1,675.00"
2,2,0,"1 The Esplanade, Toronto, ON, M5E 0A8",43.6458091,-79.3756819,"$3,400.00"
1,1,0,"1 SHAW ST, TORONTO, ON, M6K 0A1",43.6408455,-79.4143193,"$2,180.00"
1,1,0,"The Uptown Residences, 35 Balmuto St, Toronto, ON M4Y 0A3, Canada",43.6694507,-79.3874705,"$2,550.00"
1,1,1,", L3R9X3, markham, ON",43.8413607,-79.3201494,"$1,900.00"
1,1,0,", L6G0G3, markham, ON",43.8561002,-79.3370188,"$1,800.00"
1,1,1,"70 Queens Wharf Rd, Toronto, ON M5V 0E4, Canada",43.6385213,-79.3994638,"$2,300.00"
1,1,0,"365 Church St, Toronto, ON M5B 1Z9, Canada",43.660846,-79.3787556,"$2,250.00"
1,1,0,"88 Scott St, Toronto, ON M5E 1X6, Canada",43.6485726,-79.3762754,"$1,900.00"
1,1,0,"28 Church St W, Acton, ON L7J 1X4, Canada",43.6281687,-80.041462,"$1,175.00"
2,2,0,"8081 Birchmount Rd, Markham, ON L6G 1B3, Canada",43.8497521,-79.3246663,"$2,300.00"
1,1,0,"255 Richmond St E, Toronto, ON M5A 4T7, Canada",43.653075,-79.370179,"$2,000.00"
